■ 개봉일람_연도별,,,,,,,,,,,,,,,,,
- 조회일: 2023-02-17,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2022~2022   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,"전국
스크린수","전국
매출액","전국
관객수","서울
매출액","서울
관객수",장르,등급,영화구분
57,DC 리그 오브 슈퍼-펫,"자레드 스턴,샘 레빈",,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-08-10,개봉영화,장편,미국,585,"2,322,641,159","248,798","485,970,310","50,781",애니메이션,전체관람가,일반영화
58,나일 강의 죽음,케네스 브래너,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-02-09,개봉영화,장편,미국,"1,041","2,242,081,480","232,883","829,557,980","84,621",범죄,12세이상관람가,일반영화
59,아바타 리마스터링,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-09-21,개봉영화,장편,미국,285,"3,895,090,540","230,712","1,472,193,500","79,121",SF,12세이상관람가,일반영화
60,극장판 헬로카봇: 수상한 마술단의 비밀,"최신규,이슬기,정승원","(주)초이락컨텐츠컴퍼니,스튜디오더블유바바(주)",,롯데컬처웍스(주)롯데엔터테인먼트,2022-09-28,개봉영화,장편,한국,790,"2,140,400,817","228,380","364,646,739","37,819",애니메이션,전체관람가,일반영화
61,문폴,롤랜드 에머리히,,(주)누리픽쳐스,(주)누리픽쳐스,2022-03-16,개봉영화,장편,미국,"1,174","1,962,767,300","195,344","594,958,230","57,054",액션,12세이상관람가,일반영화
62,극장판 뽀로로와 친구들: 바이러스를 없애줘!,박영균,(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2022-12-01,개봉영화,장편,한국,380,"1,736,124,400","192,727","323,833,600","33,949",애니메이션,전체관람가,일반영화
63,원피스 필름 레드,타니구치 고로,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),2022-11-30,개봉영화,장편,일본,550,"2,060,258,368","192,703","575,249,978","50,973",애니메이션,12세이상관람가,일반영화
64,오펀: 천사의 탄생,윌리엄 브렌트 벨,,(주)퍼스트런,메가박스중앙(주),2022-10-12,개봉영화,장편,미국,707,"1,807,207,476","177,705","518,641,020","51,976",공포(호러),15세이상관람가,일반영화
65,극장판 엄마 까투리: 도시로 간 까투리 가족,정길훈,(주)퍼니플럭스,,(주)넥스트엔터테인먼트월드(NEW),2022-09-08,개봉영화,장편,한국,616,"1,591,633,099","171,367","285,360,594","31,886",애니메이션,전체관람가,일반영화
66,앵커,정지연,"(주)인사이트필름,(주)어바웃잇,(주)디씨지플러스",,(주)에이스메이커무비웍스,2022-04-20,개봉영화,장편,한국,"1,032","1,650,141,610","171,105","476,095,980","49,757",스릴러,15세이상관람가,일반영화
67,공기살인,조용선,"(주)마스터원엔터테인먼트,TCO(주)더콘텐츠온",,"TCO(주)더콘텐츠온,씨제이 씨지브이(CJ CGV)(주)",2022-04-22,개봉영화,장편,한국,756,"1,473,339,250","158,265","344,144,210","37,616",드라마,12세이상관람가,일반영화
68,젠틀맨,김경원,"㈜트릭스터,주식회사 에이치앤드엔터테인먼트",,플러스엠 엔터테인먼트,2022-12-28,개봉영화,장편,한국,751,"1,421,046,655","152,550","373,670,075","39,466",범죄,15세이상관람가,일반영화
69,극장판 엉덩이 탐정: 수플레 섬의 비밀,자코 아키후미,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),2022-05-05,개봉영화,장편,일본,770,"1,406,338,740","152,301","218,488,520","22,968",애니메이션,전체관람가,일반영화
70,불릿 트레인,데이빗 레이치,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-08-24,개봉영화,장편,미국,904,"1,554,615,073","143,620","602,994,982","52,936",액션,청소년관람불가,일반영화
71,하우스 오브 구찌,리들리 스콧,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-01-12,개봉영화,장편,미국,734,"1,415,370,730","143,605","782,911,850","78,802",범죄,15세이상관람가,일반영화
72,웨스트 사이드 스토리,스티븐 스필버그,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-01-12,개봉영화,장편,미국,754,"1,225,528,640","122,706","560,733,710","55,321",드라마,12세이상관람가,일반영화
73,해피 뉴 이어,곽재용,(주)하이브미디어코프,,"(주)씨제이이엔엠,주식회사 티빙",2021-12-29,개봉영화,장편,한국,832,"1,183,820,530","122,596","314,467,070","33,621",멜로/로맨스,12세이상관람가,일반영화
74,극장판 안녕 자두야: 제주도의 비밀,손석우,아툰즈,,(주)씨제이이엔엠,2022-01-27,개봉영화,장편,한국,618,"1,068,187,980","121,169","156,890,260","17,027",애니메이션,전체관람가,일반영화
75,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,알렉세이 트시칠린,,(주)퍼스트런,메가박스중앙(주),2022-12-22,개봉영화,장편,기타,626,"1,093,882,619","118,025","181,710,494","19,417",애니메이션,전체관람가,일반영화
76,앰뷸런스,마이클 베이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-04-06,개봉영화,장편,미국,"1,033","1,156,403,110","117,512","371,998,700","37,688",액션,15세이상관람가,일반영화
77,로스트 시티,,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-04-20,개봉영화,장편,미국,835,"1,023,084,850","113,186","358,122,500","41,462",액션,12세이상관람가,일반영화
78,서울괴담,홍원기,"쟈니브로스(주),플러스엠 엔터테인먼트",,플러스엠 엔터테인먼트,2022-04-27,개봉영화,장편,한국,474,"1,076,281,490","112,725","182,811,140","19,071",공포(호러),15세이상관람가,일반영화
79,스트레인지 월드,"돈 홀,퀴 응우옌",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-11-23,개봉영화,장편,미국,699,"966,234,831","112,651","177,360,520","18,691",애니메이션,전체관람가,일반영화
80,스마일,파커 핀,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-10-06,개봉영화,장편,미국,455,"1,122,947,658","105,500","424,792,693","40,710",미스터리,청소년관람불가,일반영화
81,엘비스,바즈 루어만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-07-13,개봉영화,장편,미국,665,"1,070,700,628","98,706","529,762,729","47,318",드라마,15세이상관람가,일반영화
82,블랙폰,스콧 데릭슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-09-07,개봉영화,장편,미국,495,"997,038,042","98,336","296,096,118","30,251",공포(호러),15세이상관람가,일반영화
83,안테벨룸,"제라드 부시,크리스토퍼 렌즈",,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,2022-02-23,개봉영화,장편,미국,638,"899,691,250","95,983","331,786,750","36,280",미스터리,15세이상관람가,독립/예술영화
84,스텔라,권수경,(주)데이드림엔터테인먼트,,씨제이 씨지브이(CJ CGV)(주),2022-04-06,개봉영화,장편,한국,690,"848,799,300","93,504","184,495,170","20,765",코미디,15세이상관람가,일반영화
85,폴: 600미터,스콧 만,,"주식회사 풍경소리,(주)타임앤드스페이스",(주)스튜디오디에이치엘,2022-11-16,개봉영화,장편,영국,463,"824,947,338","83,270","274,041,535","28,854",스릴러,12세이상관람가,일반영화
86,스펜서,파블로 라라인,,그린나래미디어(주),"(주)영화특별시에스엠씨,그린나래미디어(주)",2022-03-16,개봉영화,장편,영국,730,"771,154,130","82,031","397,441,260","41,496",드라마,12세이상관람가,독립/예술영화
87,인민을 위해 복무하라,장철수,"주식회사 표범영화사,(유)조이앤시네마",,(주)제이앤씨미디어그룹,2022-02-23,개봉영화,장편,한국,598,"709,334,190","79,105","223,558,850","26,380",멜로/로맨스,청소년관람불가,일반영화
88,바다 탐험대 옥토넛 : 탐험선 대작전,,,"(주)얼리버드픽쳐스,와이드 릴리즈(주)",와이드 릴리즈(주),2022-08-11,개봉영화,장편,영국,241,"744,749,950","78,910","153,159,850","15,760",애니메이션,전체관람가,독립/예술영화
89,프레이 포 더 데블,다니엘 스탬,,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,2022-12-07,개봉영화,장편,미국,517,"705,815,477","70,001","206,471,280","20,628",미스터리,15세이상관람가,일반영화
